REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Region 7,2010,16,195,101,26761
Region 8,2010,16,578,134,60825
Region 9,2010,16,1208,220,78580
Region 10,2010,16,73,38,10430
Region 1,2010,17,120,113,31792
Region 2,2010,17,1450,168,108977
Region 3,2010,17,1124,181,93315
Region 4,2010,17,1800,398,146347
Region 5,2010,17,609,215,85270
Region 6,2010,17,1257,191,78737
Region 7,2010,17,207,99,25134
Region 8,2010,17,493,133,60528
Region 9,2010,17,1265,220,79720
Region 10,2010,17,115,37,10234
Region 1,2010,18,161,102,28945
Region 2,2010,18,1353,153,107927
Region 3,2010,18,1147,178,94958
Region 4,2010,18,1707,400,141198
Region 5,2010,18,606,214,81423
Region 6,2010,18,1128,176,73239
Region 7,2010,18,172,96,25217
Region 8,2010,18,381,130,58041
Region 9,2010,18,1186,224,83964
Region 10,2010,18,73,37,10639
Region 1,2010,19,107,95,26679
Region 2,2010,19,1308,154,102501
Region 3,2010,19,998,177,91891
Region 4,2010,19,1746,390,137483
Region 5,2010,19,484,199,75386
Region 6,2010,19,1083,179,71669
Region 7,2010,19,222,91,22006
Region 8,2010,19,395,125,54951
Region 9,2010,19,1269,220,77355
Region 10,2010,19,85,34,9493
Region 1,2010,20,114,91,25431
Region 2,2010,20,1284,146,102350
Region 3,2010,20,1099,176,93988
Region 4,2010,20,1697,385,137641
Region 5,2010,20,647,198,75778
Region 6,2010,20,895,164,67795
Region 7,2010,20,163,90,20916
Region 8,2010,20,391,124,54017
Region 9,2010,20,1250,217,83691
Region 10,2010,20,63,33,9280
Region 1,2010,21,122,90,24667
Region 2,2010,21,1143,118,97134
Region 3,2010,21,1016,167,89890
Region 4,2010,21,1493,349,127317
Region 5,2010,21,595,191,73601
Region 6,2010,21,896,156,66736
Region 7,2010,21,146,80,17896
Region 8,2010,21,318,117,52669
Region 9,2010,21,1070,203,76105
Region 10,2010,21,54,26,7517
Region 1,2010,22,94,79,17702
Region 2,2010,22,1117,114,95545
Region 3,2010,22,1011,163,87212
Region 4,2010,22,1491,353,110532
Region 5,2010,22,597,190,61961
Region 6,2010,22,821,136,55202
Region 7,2010,22,89,76,15710
Region 8,2010,22,281,109,43932
Region 9,2010,22,1022,176,55104
Region 10,2010,22,72,25,6873
Region 1,2010,23,102,83,21462
Region 2,2010,23,1008,109,95884
Region 3,2010,23,868,162,86157
Region 4,2010,23,1328,363,127945
Region 5,2010,23,571,193,71191
Region 6,2010,23,699,133,62368
Region 7,2010,23,122,89,21007
Region 8,2010,23,194,107,49232
Region 9,2010,23,823,172,61745
Region 10,2010,23,40,24,7013
Region 1,2010,24,92,79,20081
Region 2,2010,24,1010,116,95800
Region 3,2010,24,901,157,85255
Region 4,2010,24,1158,341,122519
Region 5,2010,24,573,192,66709
Region 6,2010,24,533,128,56819
Region 7,2010,24,90,88,19751
Region 8,2010,24,158,109,48117
Region 9,2010,24,758,170,59089
Region 10,2010,24,43,25,6189
Region 1,2010,25,91,79,20630
Region 2,2010,25,1106,114,95276
Region 3,2010,25,746,158,82636
Region 4,2010,25,1135,320,117206
Region 5,2010,25,565,190,69240
Region 6,2010,25,601,135,58210
Region 7,2010,25,98,85,19513
Region 8,2010,25,155,108,45772
Region 9,2010,25,784,172,60946
Region 10,2010,25,53,23,6235
Region 1,2010,26,79,79,19866
Region 2,2010,26,1020,108,94166
Region 3,2010,26,656,157,74691
Region 4,2010,26,1070,311,111409
Region 5,2010,26,482,190,65901
Region 6,2010,26,489,123,48530
Region 7,2010,26,80,82,17584
Region 8,2010,26,124,106,45156
Region 9,2010,26,695,168,59208
Region 10,2010,26,23,23,6025
Region 1,2010,27,84,77,17142
Region 2,2010,27,999,106,93423
Region 3,2010,27,722,159,82297
Region 4,2010,27,1017,325,104222
Region 5,2010,27,481,178,58404
Region 6,2010,27,488,123,47344
Region 7,2010,27,76,83,16531
Region 8,2010,27,132,108,39507
Region 9,2010,27,656,171,54776
Region 10,2010,27,36,23,5768
Region 1,2010,28,75,77,20827
Region 2,2010,28,878,107,95743
Region 3,2010,28,569,149,77096
Region 4,2010,28,845,301,110440
Region 5,2010,28,437,178,64145
Region 6,2010,28,492,113,49206
Region 7,2010,28,80,76,16531
Region 8,2010,28,146,95,41308
Region 9,2010,28,669,164,65624
Region 10,2010,28,43,24,6267
Region 1,2010,29,89,79,20874
Region 2,2010,29,810,98,94134
Region 3,2010,29,577,146,75887
Region 4,2010,29,837,291,109256
Region 5,2010,29,334,178,63290
Region 6,2010,29,506,117,53918
Region 7,2010,29,68,74,16751
Region 8,2010,29,107,103,44582
Region 9,2010,29,582,156,46966
Region 10,2010,29,40,23,6132
Region 1,2010,30,79,79,19862
Region 2,2010,30,825,95,92607
Region 3,2010,30,538,147,74036
Region 4,2010,30,837,292,110737
Region 5,2010,30,317,173,62145
Region 6,2010,30,404,113,53325
Region 7,2010,30,111,72,17304
Region 8,2010,30,136,104,46425
Region 9,2010,30,557,151,43940
Region 10,2010,30,46,24,6342
Region 1,2010,31,78,77,18969
Region 2,2010,31,863,98,91303
Region 3,2010,31,555,136,66073
Region 4,2010,31,874,295,107089
Region 5,2010,31,402,169,62244
Region 6,2010,31,467,117,60098
Region 7,2010,31,54,68,15602
Region 8,2010,31,98,99,42329
Region 9,2010,31,642,155,47597
Region 10,2010,31,44,27,6817
Region 1,2010,32,91,77,19587
Region 2,2010,32,780,98,89394
Region 3,2010,32,535,129,67239
Region 4,2010,32,1009,285,110071
Region 5,2010,32,451,178,68218
Region 6,2010,32,350,105,57800
Region 7,2010,32,60,65,15753
Region 8,2010,32,119,100,44154
Region 9,2010,32,569,148,45579
Region 10,2010,32,44,27,7465
Region 1,2010,33,71,75,19225
Region 2,2010,33,795,98,85915
Region 3,2010,33,620,143,73744
Region 4,2010,33,1090,282,114345
Region 5,2010,33,500,168,64220
Region 6,2010,33,576,108,63794
Region 7,2010,33,51,65,17177
Region 8,2010,33,140,113,49040
Region 9,2010,33,626,145,41973
Region 10,2010,33,49,28,7757
Region 1,2010,34,69,77,20129
Region 2,2010,34,701,97,88214
Region 3,2010,34,667,153,82828
Region 4,2010,34,1335,282,120662
Region 5,2010,34,424,167,65707
Region 6,2010,34,538,115,62332
Region 7,2010,34,84,61,17971
Region 8,2010,34,160,110,49908
Region 9,2010,34,395,147,43419
Region 10,2010,34,47,26,7212
Region 1,2010,35,57,80,20824
Region 2,2010,35,703,97,93099
Region 3,2010,35,679,143,75115
Region 4,2010,35,1365,270,117843
Region 5,2010,35,455,162,66279
Region 6,2010,35,791,110,61960
Region 7,2010,35,86,59,16283
Region 8,2010,35,216,89,46325
Region 9,2010,35,619,137,44845
Region 10,2010,35,36,23,6000
Region 1,2010,36,77,82,20239
Region 2,2010,36,894,88,91028
Region 3,2010,36,815,144,78275
Region 4,2010,36,1466,290,115929
Region 5,2010,36,558,172,65399
Region 6,2010,36,828,113,56421
Region 7,2010,36,94,56,14350
Region 8,2010,36,245,89,40247
Region 9,2010,36,447,142,44306
Region 10,2010,36,69,22,5056
Region 1,2010,37,101,80,24196
Region 2,2010,37,907,93,95703
Region 3,2010,37,869,152,87503
Region 4,2010,37,1137,291,124953
Region 5,2010,37,589,172,70677
Region 6,2010,37,739,105,60291
Region 7,2010,37,109,60,18051
Region 8,2010,37,259,87,46416
Region 9,2010,37,742,142,54057
Region 10,2010,37,58,28,8083
Region 1,2010,38,115,79,25201
Region 2,2010,38,1184,92,100966
Region 3,2010,38,1018,149,89740
Region 4,2010,38,1441,300,135730
