0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
249,15,172,18,632,134,3,4,73,647,20,19,505,65,10,39,19,391,22,117,168,98,38,491,106,1,61,175,3,163,160,37,134,42,29,19,37,122,15,33,63,32,1050,43,41,660,16,143,23,32,1059
239,19,183,18,742,115,9,15,81,702,32,68,600,84,20,49,23,325,26,99,216,95,35,523,90,5,68,187,4,189,142,47,141,43,55,29,38,157,12,54,44,59,1061,29,40,754,34,170,31,21,1258
232,11,240,17,766,152,15,14,74,793,14,64,644,76,10,43,25,402,27,173,209,81,33,534,94,5,94,171,17,191,126,53,116,32,84,70,36,161,25,28,43,61,1090,36,45,758,28,134,69,23,1175
274,18,233,12,666,175,16,19,101,881,27,58,623,76,9,53,27,326,22,146,228,152,42,538,91,1,60,241,10,216,190,53,136,18,57,48,52,133,22,31,44,51,1117,46,47,763,30,173,53,22,1207
342,13,312,57,887,193,19,9,95,1033,27,88,625,107,18,49,38,492,9,147,225,138,50,550,100,1,11,204,17,113,151,80,169,38,149,49,57,181,34,32,43,64,1218,54,34,729,24,196,60,25,1325
419,19,239,58,906,139,14,25,69,1390,19,62,651,97,21,74,34,463,22,128,187,139,45,649,106,6,105,75,16,169,186,78,115,43,86,76,54,184,30,32,39,76,1310,40,33,888,40,201,55,23,1557
434,18,284,74,1020,137,22,12,52,1938,23,98,661,104,21,63,78,539,33,156,236,109,44,764,101,3,85,294,16,158,228,79,122,30,95,103,44,170,35,33,59,86,1121,53,53,898,44,224,59,36,1810
360,10,251,53,729,108,11,12,60,1801,128,99,622,72,8,61,63,433,27,128,198,92,47,786,78,10,15,299,8,143,194,58,102,27,48,64,25,144,31,23,37,65,964,37,46,987,21,133,36,17,1971
467,8,371,62,939,168,19,11,135,1315,34,86,659,109,26,66,111,443,23,167,260,88,51,829,132,1,99,325,7,144,234,244,170,18,59,64,27,217,51,37,62,106,1273,66,52,970,35,159,71,29,2411
656,14,517,44,1072,154,23,9,100,1685,42,81,732,112,28,86,90,492,26,153,272,85,37,878,113,1,91,394,12,183,200,303,132,11,55,51,33,203,42,29,64,122,1165,89,48,982,33,158,70,20,2524
